name,type,river_slugs,status,phone,phone_toll_free,email,website,booking_platform,address_line1,city,state,zip,description,services_offered,seasonal_notes,cabin_count,display_order
Franklin Floats,outfitter,black,active,573-637-2205,,franklinfloats@gmail.com,,,,Lesterville,MO,63654,"Float service with a primitive campground on the East Fork of the Black River at Lesterville. No website; contact by phone or email. Rental fleet size not published.",canoe_rental|shuttle|camping_primitive,,,1
Parks Bluff Campground,campground,black,active,573-637-2290,,,https://parksbluff.com,,199 Elm Street,Lesterville,MO,63654,"118-site campground on the Black River at Lesterville: tent (no electric), tent electric, 30-amp RV, 30-amp RV with water, and full-hookup 30/50-amp sites with water, electric and sewer. Reservations by phone or contact form.",camping_primitive|camping_rv,,,2
Bearcat Getaway,campground,black,active,573-637-2264,888-356-2844,bearcatgl@aol.com,https://bearcatgetaway.com,,,Lesterville,MO,63654,"Cabins and 30-amp electric campsites with community water on the Black River near Lesterville; no dump station. Three cabin units — Bearcat Mountain Cabin and Bear Cub Cabin sleep 6 each, Lodge Cabin sleeps 8 — for about 20 guests total. Campsite count not published.",camping_rv|cabins|potable_water,,3,3
Black River Camping at Horse Shoe Ranch,campground,black,active,573-637-2302,,,https://blackrivercampground.com,Airbnb,,Lesterville,MO,63654,"Campground on the Black River at Lesterville in three tiers: 30/50-amp with water, tent electric with water, and primitive tent. No sewer hookups; site counts not published. Books through Airbnb and by phone.",camping_primitive|camping_rv,,,4
Riversedge Campground,campground,black,active,573-307-1140,,goriversedge@gmail.com,https://goriversedge.com,,2100 Peola Rd,Lesterville,MO,63654,"Campground on the Black River at Lesterville with 30-amp electric-and-water sites and primitive camping, plus river float service. Site counts are in flux while the property rebuilds after major flooding.",camping_primitive|camping_rv|shuttle,"Rebuilding after major flood damage — services limited and site counts in flux as of 2026. Call ahead.",,5
Black River Lodge,cabin_lodge,black,active,573-637-2550,,,https://blackriverlodgemo.com,,1385 County Road 342,Lesterville,MO,63654,"All-inclusive lodge on the Black River at Lesterville, operating since 1946. Cabins named for birds in sizes from 2 to 16 rooms; rates include three meals a day, and the property takes reunion-sized groups of 80+. Tubes rented on site, canoe rental nearby. Reservations by phone.",cabins|tube_rental|food_service,,,6
Log Cabin Suites,cabin_lodge,black,active,573-747-9721,,logcabinsuitesllc@gmail.com,https://logcabinsuites.com,Airbnb,32041 MO-21,Lesterville,MO,63654,"Cabin suites on Highway 21 at Lesterville with access to Black River floating, fishing and hiking. Units include jacuzzi and hot-tub rooms with queen and bunk beds; unit count not published. Books through the property site and Airbnb.",cabins,,,7
Wilderness Lodge Resort,cabin_lodge,black,active,573-307-1141,,info@enjoywilderness.com,https://enjoywilderness.com,Cloudbeds,2331 County Road 342,Lesterville,MO,63654,"All-inclusive resort with 26 cabins, suites and cottages on a mile of Black River frontage at Lesterville; rates include a three-course dinner, lunch and breakfast. Books through Cloudbeds and major travel sites.",cabins|lodge_rooms|food_service,,26,8
Sunset Ridge Cabin,cabin_lodge,black,active,314-960-3562,,info@sunsetridgecabin.com,https://sunsetridgecabin.com,,,Lesterville,MO,,"Single cedar cabin near Lesterville, built in 2010: two full baths, loft and deck, sleeps 8. Twenty minutes from Johnson's Shut-Ins State Park. Books direct by phone.",cabins,,1,9
The Black River Cabins,cabin_lodge,black,unverified,573-444-1582,,,,,36050 Highway 1,Lesterville,MO,63654,"Cabins on the Black River at Lesterville; second listed number 573-561-3163. Marked unverified because the theblackrivercabins.com domain no longer resolves — unit count and current operating status could not be confirmed from a primary source.",cabins,,,10
